segment_id,new_segment_id,distance_m,speed_limit_kph,street_name,metric_time_set,speed_kph,route_id,time_set_raw,time_set,route_name,sample_size,travel_time_ratio_vs_am
258400001243985,a83a2046-e692-4a51-b1cb-4f44f6d0b74f,3507.01,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,21.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2093,
258400001238412,cee8650a-1f96-4508-8d14-705d1cd38635,3576.45,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,25.4,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1962,
258400001241924,a96d6c36-3d43-41f1-9c9d-e76780579987,3592.53,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,17.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,1977,
258400001365166,e6d0fd0a-a22a-4027-8a46-05f22f00b658,3629.56,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,21.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2111,
258400001362685,89d7cd89-1820-4025-9f0d-057e83934407,3647.58,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,24.6,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2115,
258400001351044,ecd154b6-e278-4c92-95f9-15bdc3b76db9,3668.58,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,27.1,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2062,
258400001349315,ca2ead64-b796-47bb-b22e-6d698a5f0fac,3736.02,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,32.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2053,
258400000188050,0000554d-4100-0400-0000-0000000c3907,3788.09,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,35.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2022,
258400000538084,0000554d-4100-0400-0000-0000000c390f,3807.17,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,36.5,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2053,
258400000043270,0000554d-4100-0400-0000-0000000c391d,3870.63,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,34.9,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2021,
258400000126252,0000554d-4100-0400-0000-0000000c3925,3904.77,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,35.7,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2042,
258400001406196,eab7176f-0949-4ce4-8f26-6d697478f680,3925.04,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,32.0,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2043,
258400001406195,cf0431a2-b07b-4da9-bd38-151919377231,3982.2,56,Main St,Speed(kph) AM_Peak: 7:00-9:00,32.4,1,AM_Peak: 7:00-9:00,AM Peak,Main Street Corridor,2048,
258400000506020,0000554d-4100-0400-0000-0000000c3eaa,11.02,56,Main St,Speed(kph) Midday: 11:00-13:00,25.3,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1666,1.14
258400000265907,0000554d-4100-0400-0000-0000000c3c37,90.69,56,Main St,Speed(kph) Midday: 11:00-13:00,28.7,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1929,1.1
258400000553424,0000554d-4100-0400-0000-0000000c3c38,158.25,56,Main St,Speed(kph) Midday: 11:00-13:00,27.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1928,1.06
258400000225544,0000554d-4100-0400-0000-0000000c58a8,226.02,56,Main St,Speed(kph) Midday: 11:00-13:00,20.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1919,1.07
-258400000582128,-0000554d-4100-0400-0000-00000014072f,236.02,56,Main St,Speed(kph) Midday: 11:00-13:00,15.0,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1952,1.2
-258400000322758,-0000554d-4100-0400-0000-00000014072e,265.35,56,Main St,Speed(kph) Midday: 11:00-13:00,22.1,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1924,1.06
-258400001282614,-9c41f9db-be3e-4711-9d2f-fda6e9aa901b,299.97,56,Main St,Speed(kph) Midday: 11:00-13:00,20.8,1,Midday: 11:00-13:00,Midday,Main Street Corridor,1924,1.1
-258400001285313,-b2fa9589-3885-4c9e-95da-28af86481635,321.6,56,Main St,Speed(kph) Midday: 11:00-13:00,14.3,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2682,1.09
-258400000607978,-0000554d-4100-0400-0000-0000000c5825,333.25,56,Main St,Speed(kph) Midday: 11:00-13:00,10.6,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2678,0.98
258400000028762,0000554d-4100-0400-0000-0000000c5824,341.78,56,Main St,Speed(kph) Midday: 11:00-13:00,9.1,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2634,0.93
258400000158954,0000554d-4100-0400-0000-0000000c410d,359.12,56,Main St,Speed(kph) Midday: 11:00-13:00,12.2,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2630,1.02
258400000736623,a7719403-d8c2-4a38-a645-5ff61d699d24,428.2,56,Main St,Speed(kph) Midday: 11:00-13:00,15.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2480,1.03
258400000736102,eb38f4a2-9b5c-4203-855c-2a1472e84415,462.09,56,Main St,Speed(kph) Midday: 11:00-13:00,13.7,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2500,0.94
258400000738442,b5d6e545-6ce0-49be-a81c-74bf402268c7,500.74,56,Main St,Speed(kph) Midday: 11:00-13:00,22.4,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3559,0.8
258400000736974,868c9225-26ff-493e-b169-688e734ebcd1,557.37,56,Main St,Speed(kph) Midday: 11:00-13:00,22.7,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3480,1.14
258400000310294,0000554d-4100-0400-0000-0000000c4ec6,574.21,56,Main St,Speed(kph) Midday: 11:00-13:00,19.3,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3420,1.16
258400000086070,0000554d-4100-0400-0000-0000000c4ee9,613.67,56,Main St,Speed(kph) Midday: 11:00-13:00,14.9,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3418,1.06
258400000736766,e5bd1214-7469-4976-93e4-719819d42804,642.82,56,Main St,Speed(kph) Midday: 11:00-13:00,16.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3782,1.06
258400000734732,fe673c38-0d6d-4793-9e08-7cbfaef855bc,669.3,56,Main St,Speed(kph) Midday: 11:00-13:00,13.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3703,1.16
258400000737114,b7241328-2320-47cb-9e7b-6093df329b57,702.87,56,Main St,Speed(kph) Midday: 11:00-13:00,10.0,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3728,1.18
258400000037642,0000554d-4100-0400-0000-0000000c4f2d,746.81,56,Main St,Speed(kph) Midday: 11:00-13:00,17.1,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3314,1.37
258400000098442,0000554d-4100-0400-0000-0000000c4f4d,801.96,56,Main St,Speed(kph) Midday: 11:00-13:00,10.8,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2822,1.48
258400000781131,a27b3b52-7610-490d-a9f4-da36f44191ba,831.6,56,Main St,Speed(kph) Midday: 11:00-13:00,10.6,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2843,1.31
258400000779745,83de6882-9f7d-403f-9d1b-551a6f650677,869.17,56,Main St,Speed(kph) Midday: 11:00-13:00,7.4,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2824,1.1
258400000429661,0000554d-4100-0400-0000-0000000c4f8e,887.12,56,Main St,Speed(kph) Midday: 11:00-13:00,19.2,1,Midday: 11:00-13:00,Midday,Main Street Corridor,5327,1.19
258400000009446,0000554d-4100-0400-0000-0000000c4fc3,972.28,56,Main St,Speed(kph) Midday: 11:00-13:00,16.0,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2511,1.27
258400000247894,0000554d-4100-0400-0000-0000000c4fd3,1009.42,56,Main St,Speed(kph) Midday: 11:00-13:00,15.2,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2538,1.23
258400000736302,908753be-8ff2-4dff-9dce-2bd5538bf4e6,1054.07,56,Main St,Speed(kph) Midday: 11:00-13:00,19.0,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2979,1.21
258400000739139,9530c6e0-9cb8-48d3-901d-5d3ba0e99c30,1087.58,56,Main St,Speed(kph) Midday: 11:00-13:00,18.1,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2995,1.21
258400000229107,0000554d-4100-0400-0000-0000000c5008,1111.33,56,Main St,Speed(kph) Midday: 11:00-13:00,20.8,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2779,1.21
258400001312957,f92d1ddd-1bf2-4d0e-9b29-bf7b449cfaae,1190.64,56,Main St,Speed(kph) Midday: 11:00-13:00,15.8,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2766,1.31
258400001311020,b7b47e73-2ef6-4d9a-bd96-f5c252cd7f3c,1261.03,56,Main St,Speed(kph) Midday: 11:00-13:00,10.0,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2773,1.2
258400000538082,0000554d-4100-0400-0000-000000140f38,1273.53,56,Main St,Speed(kph) Midday: 11:00-13:00,13.6,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3546,1.17
258400000737422,ad53060a-f2c0-48b9-9176-99f9d7f89e71,1324.7,56,Main St,Speed(kph) Midday: 11:00-13:00,11.8,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3041,1.42
258400000738560,a3bf8214-86d8-4701-a96d-14bb43bb85f3,1373.0,56,Main St,Speed(kph) Midday: 11:00-13:00,8.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,3015,1.12
258400000043395,0000554d-4100-0400-0000-0000000c50d0,1461.9,56,Main St,Speed(kph) Midday: 11:00-13:00,15.5,1,Midday: 11:00-13:00,Midday,Main Street Corridor,2188,1.48
